Submitter	bases	rel_bases
Texas A&M University	5.00989082738e+12	0.000414940806836
Illumina Fast Track Services	4.9088767898e+12	0.000406574387746
UPENN-phs000835	4.89081259468e+12	0.000405078233048
NHGRI	4.82361188199e+12	0.000399512379639
University of Michigan	4.78688746147e+12	0.000396470704439
Technical University of Denmark	4.78061204922e+12	0.00039595094768
EMBL-EBI	4.70337166708e+12	0.000389553565463
University of Oxford	4.66291133334e+12	0.000386202465788
Purdue University	4.6203830626e+12	0.000382680090634
RIKEN_OSC	4.5622094877e+12	0.000377861903783
University of Wisconsin-Madison	4.45971666649e+12	0.000369373005444
UPSC	4.43173580932e+12	0.000367055509944
WEIZMANN INSTITUE OF SCIENCE	4.37985593346e+12	0.000362758594443
DOE-Joint Genome Institute	4.37754089628e+12	0.000362566853061
NCI-phs001027	4.32886694045e+12	0.000358535465711
UWGS-RW	4.24934081363e+12	0.000351948768243
BDGP	4.22513460264e+12	0.00034994390525
USDA-ARS-USMARC	4.19344111346e+12	0.000347318913524
Bilkent University	4.17238868053e+12	0.000345575260058
University of California, Riverside	4.15606698566e+12	0.00034422342676
Shanghai Institutes for Biological Sciences	4.10773889628e+12	0.000340220685565
Wageningen University	4.10157311971e+12	0.000339710009306
OIST	4.05316109520e+12	0.00033570031624
UMAG	4.0259878531e+12	0.000333449710909
CSIRO	3.99887215906e+12	0.000331203871958
Children's Hospital Boston and Harvard Medical Sch	3.92329794491e+12	0.000324944488974
IPK-Gatersleben	3.87160976282e+12	0.00032066345038
China Agricultural University	3.86421093759e+12	0.000320050647704
Yale-phs000933	3.8588232868e+12	0.000319604419184
UC Davis	3.85712619377e+12	0.000319463858606
NCI-phs001072	3.85078937766e+12	0.000318939016114
Duke University	3.82864963312e+12	0.000317105306802
ICL-CFB	3.81604086235e+12	0.000316060993922
University of Florida	3.80321337676e+12	0.000314998566136
UC Berkeley	3.70541304638e+12	0.000306898320164
Huazhong Agricultural University	3.64627398760e+12	0.000302000167767
University_of_Washington_Genome_Sciences	3.62925394353e+12	0.00030059049417
TGEN-phs001036	3.4942408545e+12	0.000289408126725
NIOB	3.49193054406e+12	0.00028921677683
UPF-CSIC	3.47056179054e+12	0.000287446924326
Mayo Clinic	3.46074379674e+12	0.000286633755654
Dana-Farber Cancer Institute	3.43419015264e+12	0.000284434468108
Boyce Thompson Institute	3.42628119104e+12	0.000283779413733
The Salk Institute for Biological Studies	3.37998653719e+12	0.000279945090454
University of Texas at Austin	3.34955095106e+12	0.000277424283694
University of Illinois at Urbana-Champaign	3.32277585944e+12	0.000275206654907
KYUSH-MIB	3.32232783684e+12	0.000275169547739
