Study Accession	terabases	rel_bases
SRP067114	1047.66072071	0.0843590197449
SRP062442	883.788571443	0.0711638186628
SRP067333	491.256396411	0.0395566114348
SRP070608	299.723368001	0.0241341199679
SRP070605	286.856197304	0.0230980384527
SRP068578	284.470974207	0.0229059771504
SRP064110	265.323299641	0.0213641811998
SRP066952	261.213507054	0.021033255293
SRP011999	247.869328669	0.0199587644912
SRP070609	178.614839104	0.0143823018663
