exclusion	filter_index	is_applied	reads_fraction	reads_number
self-circle	1	1	0.0	0
dangling-end	2	1	0.11267605633802817	8
error	3	1	0.0	0
extra_dangling-end	4	1	0.28169014084507044	20
too_close_from_RES	5	0	0.5492957746478874	39
too_short	6	0	0.028169014084507043	2
too_large	7	0	0.0	0
over-represented	8	0	0.0	0
duplicated	9	1	0.0	0
random_breaks	10	1	0.0	0
